0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
42.0,42.0038,0.84,445.0,548.6,1341.71,1119.46,2211.96,8318.77,1.02,41.85,2388.08,8082.25,9.3232,0.02,329.0,2212.0,10.68,6.3153
43.0,19.9987,0.702,491.19,606.94,1474.34,1238.01,2323.86,8719.91,1.08,44.29,2388.0,8066.45,9.1819,0.02,364.0,2324.0,24.53,14.7482
44.0,0.001,0.0,518.67,641.46,1588.24,1392.3,2388.03,9058.11,1.3,47.3,2388.03,8133.6,8.3918,0.03,391.0,2388.0,39.17,23.4801
45.0,19.9988,0.7,491.19,606.94,1477.19,1250.93,2323.78,8715.98,1.07,44.01,2388.0,8062.17,9.1784,0.02,363.0,2324.0,24.64,14.7538
46.0,35.004,0.84,449.44,555.43,1361.68,1123.01,2222.91,8347.23,1.02,41.53,2388.0,8065.55,9.2971,0.02,332.0,2223.0,15.04,9.0071
47.0,42.0068,0.8411,445.0,549.08,1345.28,1111.05,2212.05,8324.77,1.02,41.79,2388.05,8086.54,9.3075,0.02,329.0,2212.0,10.7,6.3319
48.0,34.9984,0.84,449.44,555.14,1369.88,1124.01,2222.94,8352.17,1.02,41.59,2388.04,8071.39,9.2736,0.02,333.0,2223.0,15.11,8.832
49.0,34.9983,0.8403,449.44,554.91,1360.08,1121.62,2222.89,8345.57,1.02,41.57,2388.0,8063.33,9.2843,0.02,333.0,2223.0,14.93,8.9419
50.0,35.0036,0.84,449.44,554.8,1358.17,1121.2,2222.9,8348.29,1.02,41.59,2388.02,8068.51,9.2608,0.02,333.0,2223.0,14.96,8.9196
51.0,0.0023,0.0013,518.67,642.59,1589.09,1394.85,2387.96,9058.89,1.3,47.23,2388.07,8138.05,8.3801,0.03,390.0,2388.0,39.05,23.4905
52.0,20.0067,0.7003,491.19,607.11,1480.01,1239.33,2323.82,8718.12,1.07,44.09,2387.99,8063.37,9.1453,0.02,363.0,2324.0,24.61,14.6728
53.0,25.0059,0.62,462.54,536.58,1257.74,1040.84,1915.35,8005.43,0.94,36.36,2028.26,7868.65,10.858,0.02,306.0,1915.0,14.42,8.4825
54.0,42.006,0.8406,445.0,549.7,1347.43,1117.71,2211.95,8317.92,1.02,41.84,2388.11,8081.97,9.3057,0.02,330.0,2212.0,10.68,6.3155
55.0,10.0044,0.25,489.05,604.02,1486.64,1294.61,2318.79,8780.25,1.26,45.08,2387.99,8130.84,8.5698,0.03,367.0,2319.0,28.63,17.1714
56.0,20.0017,0.7,491.19,607.01,1472.89,1248.73,2323.78,8721.94,1.08,44.14,2387.96,8060.89,9.1836,0.02,363.0,2324.0,24.74,14.7752
57.0,10.0062,0.2512,489.05,604.6,1488.14,1297.55,2318.83,8779.32,1.26,45.1,2388.02,8130.93,8.6046,0.03,367.0,2319.0,28.75,17.2079
58.0,42.0072,0.84,445.0,548.69,1353.61,1113.8,2211.95,8316.2,1.02,41.82,2388.06,8080.08,9.3142,0.02,326.0,2212.0,10.73,6.4423
59.0,25.0066,0.62,462.54,536.59,1255.41,1047.34,1915.39,8009.36,0.94,36.54,2028.27,7873.24,10.8209,0.02,306.0,1915.0,14.28,8.5779
60.0,25.0036,0.62,462.54,536.66,1257.22,1038.6,1915.37,8003.61,0.94,36.48,2028.24,7877.07,10.8038,0.02,306.0,1915.0,14.27,8.5251
61.0,25.0052,0.62,462.54,536.6,1262.33,1038.65,1915.35,8002.55,0.94,36.68,2028.2,7869.35,10.8432,0.02,306.0,1915.0,14.44,8.5225
62.0,35.0001,0.84,449.44,554.51,1365.32,1124.41,2222.93,8352.51,1.02,41.79,2388.07,8070.29,9.2615,0.02,334.0,2223.0,14.91,8.9474
63.0,41.9983,0.84,445.0,549.1,1348.69,1113.81,2211.97,8315.19,1.02,41.72,2388.03,8081.02,9.3627,0.02,329.0,2212.0,10.64,6.3015
64.0,0.0028,0.0016,518.67,641.98,1587.82,1393.99,2388.07,9056.82,1.3,47.1,2387.94,8139.71,8.4058,0.03,391.0,2388.0,39.08,23.5553
65.0,19.9995,0.7,491.19,606.64,1480.98,1238.02,2323.83,8714.54,1.07,44.22,2387.95,8064.06,9.1886,0.02,363.0,2324.0,24.56,14.69
66.0,42.0069,0.84,445.0,549.03,1349.2,1119.79,2211.93,8318.3,1.02,41.78,2388.11,8082.64,9.322,0.02,329.0,2212.0,10.66,6.4433
67.0,0.0006,0.0013,518.67,641.99,1588.55,1402.81,2387.96,9053.78,1.3,47.21,2387.96,8133.64,8.3941,0.03,392.0,2388.0,39.18,23.4642
68.0,42.0054,0.8406,445.0,548.69,1349.51,1114.78,2212.02,8317.88,1.02,41.59,2388.05,8084.42,9.3078,0.02,330.0,2212.0,10.68,6.3594
69.0,42.0013,0.841,445.0,548.52,1349.56,1116.07,2211.96,8320.37,1.02,41.71,2388.09,8082.76,9.3367,0.02,328.0,2212.0,10.72,6.3864
70.0,41.9981,0.84,445.0,549.39,1344.97,1115.57,2211.98,8316.94,1.02,41.72,2388.06,8083.72,9.345,0.02,329.0,2212.0,10.52,6.4309
71.0,41.9982,0.8406,445.0,548.44,1344.15,1114.32,2211.99,8319.86,1.02,41.63,2388.06,8081.02,9.2927,0.02,330.0,2212.0,10.67,6.2897
72.0,20.0052,0.7,491.19,607.15,1480.8,1240.88,2323.83,8720.8,1.07,44.09,2388.0,8061.14,9.1437,0.02,362.0,2324.0,24.63,14.7379
73.0,0.0018,0.0002,518.67,641.83,1580.95,1392.98,2388.02,9051.37,1.3,47.1,2388.01,8134.15,8.369,0.03,390.0,2388.0,39.12,23.4144
74.0,10.0057,0.25,489.05,604.63,1494.42,1301.69,2318.8,8782.22,1.26,44.95,2387.98,8130.26,8.6136,0.03,368.0,2319.0,28.66,17.1354
75.0,25.0017,0.62,462.54,536.94,1256.91,1042.51,1915.33,8002.08,0.94,36.38,2028.24,7873.67,10.8013,0.02,306.0,1915.0,14.41,8.6837
76.0,25.0045,0.6201,462.54,536.46,1256.44,1032.87,1915.37,8004.71,0.94,36.32,2028.24,7874.33,10.8033,0.02,305.0,1915.0,14.36,8.5562
77.0,20.0055,0.7,491.19,606.99,1479.35,1245.22,2323.85,8718.21,1.08,44.07,2387.95,8062.76,9.1881,0.02,364.0,2324.0,24.6,14.8006
78.0,25.0027,0.6204,462.54,536.72,1256.21,1043.25,1915.36,8009.23,0.94,36.38,2028.24,7877.11,10.8242,0.02,306.0,1915.0,14.15,8.5608
79.0,42.0026,0.8414,445.0,548.66,1351.49,1108.37,2211.99,8310.04,1.02,41.69,2388.03,8086.23,9.3091,0.02,330.0,2212.0,10.43,6.4611
80.0,42.0039,0.84,445.0,549.25,1347.04,1123.28,2212.03,8312.89,1.02,41.93,2388.08,8082.22,9.3284,0.02,329.0,2212.0,10.76,6.4555
81.0,10.0041,0.2518,489.05,603.79,1498.27,1301.67,2318.8,8775.35,1.26,44.94,2387.98,8131.83,8.6157,0.03,368.0,2319.0,28.79,17.1892
82.0,0.0025,0.0002,518.67,642.08,1587.08,1402.78,2388.02,9053.55,1.3,47.3,2387.96,8144.71,8.3641,0.03,391.0,2388.0,39.07,23.3837
83.0,35.0069,0.84,449.44,555.03,1363.15,1119.88,2222.94,8342.06,1.02,41.7,2388.0,8064.64,9.2659,0.02,332.0,2223.0,14.92,8.9738
84.0,35.0024,0.8412,449.44,555.02,1361.02,1120.04,2222.93,8348.93,1.02,41.46,2388.02,8064.78,9.2876,0.02,333.0,2223.0,14.89,8.9756
85.0,19.9981,0.7011,491.19,607.14,1477.98,1240.52,2323.81,8720.27,1.07,44.12,2387.99,8062.65,9.1421,0.02,365.0,2324.0,24.61,14.7592
86.0,42.0009,0.8417,445.0,549.35,1346.97,1117.27,2211.96,8320.03,1.02,41.77,2388.05,8084.4,9.3475,0.02,328.0,2212.0,10.62,6.3817
87.0,0.0002,0.002,518.67,642.37,1585.87,1391.42,2388.02,9049.43,1.3,47.3,2388.02,8135.62,8.3629,0.03,391.0,2388.0,39.11,23.4413
88.0,25.0055,0.62,462.54,536.85,1253.3,1038.97,1915.31,8004.07,0.94,36.41,2028.19,7874.99,10.8483,0.02,305.0,1915.0,14.25,8.6022
89.0,0.0014,0.0006,518.67,641.95,1590.21,1397.58,2388.01,9059.35,1.3,47.12,2387.98,8140.8,8.376,0.03,392.0,2388.0,39.14,23.5331
90.0,25.0069,0.62,462.54,536.08,1255.21,1043.26,1915.38,8006.94,0.94,36.52,2028.2,7872.76,10.87,0.02,306.0,1915.0,14.41,8.516
91.0,9.9993,0.2515,489.05,603.99,1499.81,1300.18,2318.8,8777.65,1.26,45.15,2388.01,8132.32,8.5984,0.03,368.0,2319.0,28.72,17.2956
92.0,0.001,0.0008,518.67,642.47,1582.68,1397.21,2388.01,9054.42,1.3,47.25,2388.02,8138.63,8.3595,0.03,391.0,2388.0,39.02,23.4154
93.0,19.9991,0.7006,491.19,607.19,1474.46,1234.26,2323.82,8718.14,1.08,44.08,2387.99,8061.61,9.1874,0.02,365.0,2324.0,24.7,14.7787
94.0,35.0078,0.8413,449.44,555.12,1355.75,1121.24,2222.88,8346.94,1.02,41.77,2388.02,8063.77,9.2565,0.02,331.0,2223.0,14.97,8.8006
95.0,20.0067,0.7,491.19,607.23,1482.98,1235.56,2323.79,8723.18,1.07,44.19,2387.95,8065.1,9.1948,0.02,363.0,2324.0,24.32,14.8135
96.0,19.9999,0.7016,491.19,606.75,1474.0,1239.42,2323.85,8724.33,1.07,44.08,2387.95,8067.95,9.2125,0.02,364.0,2324.0,24.38,14.7127
97.0,0.0005,0.0006,518.67,642.18,1584.13,1393.65,2388.07,9058.81,1.3,47.25,2388.03,8141.46,8.3511,0.03,391.0,2388.0,39.11,23.5247
98.0,42.0028,0.841,445.0,549.07,1349.82,1119.21,2211.96,8321.4,1.02,41.67,2388.09,8087.1,9.3596,0.02,330.0,2212.0,10.66,6.4152
99.0,24.9996,0.62,462.54,537.08,1257.71,1039.83,1915.36,8006.69,0.94,36.43,2028.28,7876.36,10.8232,0.02,306.0,1915.0,14.52,8.6467
100.0,0.0002,0.0,518.67,642.19,1584.8,1400.42,2388.01,9054.1,1.3,47.05,2388.03,8139.66,8.3786,0.03,391.0,2388.0,39.03,23.4339
101.0,42.0053,0.84,445.0,549.05,1352.75,1114.99,2212.0,8319.75,1.02,41.69,2388.06,8093.12,9.2947,0.02,330.0,2212.0,10.51,6.4116
102.0,9.9999,0.25,489.05,605.03,1501.42,1303.25,2318.75,8786.09,1.26,45.19,2387.98,8128.05,8.6011,0.03,370.0,2319.0,28.73,17.1815
103.0,25.0027,0.6219,462.54,537.17,1255.84,1040.24,1915.42,8011.9,0.94,36.6,2028.23,7873.81,10.8422,0.02,307.0,1915.0,14.31,8.7072
104.0,42.0004,0.84,445.0,548.41,1352.42,1113.04,2212.01,8321.33,1.02,41.8,2388.1,8090.41,9.2908,0.02,329.0,2212.0,10.7,6.2863
105.0,35.0052,0.84,449.44,555.02,1352.52,1120.89,2222.99,8345.76,1.02,41.51,2388.06,8075.73,9.2844,0.02,334.0,2223.0,14.91,8.8995
106.0,9.998,0.25,489.05,604.18,1490.9,1298.89,2318.88,8779.3,1.26,45.04,2388.0,8131.9,8.583,0.03,368.0,2319.0,28.69,17.1698
107.0,0.0004,0.0,518.67,642.41,1582.4,1399.22,2387.99,9058.95,1.3,47.12,2388.0,8141.16,8.3923,0.03,392.0,2388.0,39.08,23.404
108.0,0.0002,0.0,518.67,642.23,1580.81,1398.36,2388.01,9062.07,1.3,47.04,2388.01,8136.84,8.3833,0.03,391.0,2388.0,39.16,23.4191
109.0,35.0078,0.8407,449.44,555.5,1365.66,1125.67,2222.98,8338.29,1.02,41.7,2388.03,8067.83,9.2577,0.02,333.0,2223.0,14.88,8.9023
110.0,9.9998,0.2516,489.05,604.5,1492.52,1299.61,2318.88,8779.66,1.26,45.11,2388.04,8136.36,8.5855,0.03,368.0,2319.0,28.53,17.3432
111.0,42.0063,0.84,445.0,549.47,1348.52,1115.67,2211.99,8318.72,1.02,41.9,2388.11,8082.51,9.3341,0.02,328.0,2212.0,10.63,6.3623
112.0,42.0068,0.84,445.0,549.36,1345.64,1115.64,2211.96,8319.87,1.02,41.59,2388.09,8084.0,9.3174,0.02,329.0,2212.0,10.55,6.3926
113.0,10.0021,0.2507,489.05,604.95,1496.64,1307.86,2318.81,8780.13,1.26,45.05,2388.0,8133.55,8.6065,0.03,368.0,2319.0,28.78,17.3259
114.0,35.0035,0.8403,449.44,555.27,1351.74,1118.04,2222.94,8350.55,1.02,41.58,2388.02,8070.01,9.2451,0.02,332.0,2223.0,14.78,8.9585
115.0,10.0053,0.25,489.05,603.81,1491.42,1293.96,2318.82,8783.62,1.26,45.08,2388.08,8129.76,8.611,0.03,369.0,2319.0,28.76,17.2806
116.0,42.0061,0.84,445.0,549.55,1343.58,1115.84,2212.01,8319.02,1.02,41.73,2388.07,8084.5,9.3676,0.02,330.0,2212.0,10.55,6.3587
